path,format,sha256,producer_version,generated_date,status,kind,supports_claim,caveat
tests/atlas_data_driven_sps/results/fdps_systematics_global_nominal_v1/summary.txt,txt,e49e054c1e8cbd8c7df2d40ba7e6fa42f1b1a1eae57d10c8331cf9d3dce270f8,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T12:01:16+02:00,ready,result_summary,f_DPS central/stat/systematic and projection index,
tests/atlas_data_driven_sps/results/fdps_systematics_global_nominal_v1/variations.csv,csv,7b0cb8afb0a463967e4f3027b09e4a7b78061c9bf398445c27f188a5fa4a3051,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T12:01:16+02:00,ready,machine_table,source-level variations and signed shifts,
tests/atlas_data_driven_sps/results/fdps_systematics_global_nominal_v1/metadata.txt,txt,582c95af5beae07a15e24606a6d7cbd1c6a3f4b65a5e77011641c19ad6bc65b6,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T12:01:16+02:00,ready,provenance,"runtime, source hashes and bootstrap/projection linkage",
tests/atlas_data_driven_sps/results/fdps_systematics_global_nominal_v1/baseline/summary.txt,txt,c58b7f29b3c8fba4a71aa285cd0f957fada6c77f2a2603a61fb2a9ccd34690de,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T11:02:07+02:00,ready,nominal_decomposition,12-cell CR normalization and f_DPS algebra,
tests/atlas_data_driven_sps/results/fdps_systematics_global_nominal_v1/baseline/cells.csv,csv,154860241011f8d4c266b6f261e32379c85bc3dfb7f94b812891fdca722ae765,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T11:02:07+02:00,ready,machine_table,12-cell PP/SPS/DPS yields and weights,
tests/atlas_data_driven_sps/results/pp_data_2d_crsingle12_mergeddy/summary.txt,txt,371450336af23a405e1d220dc0cbaa00de9ef63af9a69da52c2a02b3399ae0fa,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-27T11:20:20+02:00,ready,fit_QA,12/12 PP fits and input event count,
tests/atlas_data_driven_sps/results/fdps_systematics_final_v1/category/global_calibrated/global_calibrated_splot_summary_jpsi1.txt,txt,4c576c5b1523c79ce0df154421ed2ff9658abe16aee3f6226e9357bc869627bb,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T10:40:07+02:00,ready,fit_QA,Jpsi1 global calibration/yield/sWeight closure,
tests/atlas_data_driven_sps/results/fdps_systematics_final_v1/category/global_calibrated/global_calibrated_splot_summary_jpsi2.txt,txt,46562b0773ee7b4d5a17a85a04e67e598ca5608eb4a05fd692194a113b2c24c6,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T10:40:15+02:00,ready,fit_QA,Jpsi2 global calibration/yield/sWeight closure,
tests/atlas_data_driven_sps/results/fdps_systematics_final_v1/category/global_calibrated/build_mixing.log,log,257dc8a1c72e7b1444aa6224f3b7fb2ca33db4020d40e662240648d20574e549,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T10:40:40+02:00,ready,construction_log,all-pairs counts and signed pair-weight definition,
tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/summary.txt,txt,c8fb5ffcd192babea8a5e2a0a77376e1cfb77d5cd92cfa0c7c35d43bd2bcfddd,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T11:39:14+02:00,ready,stat_summary,frozen 500-replica ensemble statistics,
tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/qa_summary.txt,txt,4283d7f1ff95383e97b406c7b0854c6537ae3cbbf737eba55d83058a9358c4a0,sync/chensh-20260730@24823a5d476c18aee1f3134e86da645063965ef1,2026-08-28T11:39:14+02:00,ready,stat_QA,"1000 calibrations, 1000 yield fits and 6000 PP cells",
